,vacancy_name,vacancy_link,employer_link,salary_min,salary_max,salary_unit
124,Python backend developer,https://ekaterinburg.hh.ru/vacancy/39067708?query=python,https://hh.ru/employer/779048,,,
125,Преподаватель Python & Data Science и Machine Learning,https://ekaterinburg.hh.ru/vacancy/36437887?query=python,https://hh.ru/employer/8219,150000.0,,руб.
126,Python - разработчик,https://ekaterinburg.hh.ru/vacancy/38813121?query=python,https://hh.ru/employer/210154,,,
127,Python backend инженер,https://ekaterinburg.hh.ru/vacancy/38855190?query=python,https://hh.ru/employer/4853939,100000.0,160000.0,руб.
128,Senior python developer,https://ekaterinburg.hh.ru/vacancy/37583293?query=python,https://hh.ru/employer/1440683,,,
129,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/37706591?query=python,https://hh.ru/employer/2643808,,,
130,Python Developer,https://ekaterinburg.hh.ru/vacancy/39018762?query=python,https://hh.ru/employer/4055976,,200000.0,руб.
131,Программист Python,https://ekaterinburg.hh.ru/vacancy/38429768?query=python,https://hh.ru/employer/8327,70000.0,,руб.
132,Python developer,https://ekaterinburg.hh.ru/vacancy/38897245?query=python,https://hh.ru/employer/705624,160000.0,200000.0,руб.
133,Python developer (Data Engineer),https://ekaterinburg.hh.ru/vacancy/33647219?query=python,https://hh.ru/employer/790022,,,
134,Программист,https://ekaterinburg.hh.ru/vacancy/38879745?query=python,https://hh.ru/employer/4835563,120000.0,170000.0,руб.
135,Ведущий программист Python,https://ekaterinburg.hh.ru/vacancy/36618179?query=python,https://hh.ru/employer/58031,,,
136,Senior Python developer,https://ekaterinburg.hh.ru/vacancy/39069567?query=python,https://hh.ru/employer/2156053,,,
137,Программист Python (Django),https://ekaterinburg.hh.ru/vacancy/39018086?query=python,https://hh.ru/employer/197135,,,
138,Программист Python,https://ekaterinburg.hh.ru/vacancy/38727910?query=python,https://hh.ru/employer/3532995,,,
139,Python Developer,https://ekaterinburg.hh.ru/vacancy/38848417?query=python,https://hh.ru/employer/4508336,3000.0,4000.0,USD
140,Data Scientist (ML/CV),https://ekaterinburg.hh.ru/vacancy/38742848?query=python,https://hh.ru/employer/4718359,180000.0,200000.0,руб.
141,Наставник онлайн-курса по Python / JavaScript / PHP на Хекслете,https://ekaterinburg.hh.ru/vacancy/38730078?query=python,https://hh.ru/employer/4307094,,,
142,Python + Go разработчик (можно удаленно),https://ekaterinburg.hh.ru/vacancy/38742167?query=python,https://hh.ru/employer/136929,,180000.0,руб.
143,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38923564?query=python,https://hh.ru/employer/3776?dpt=mts-3776-it,,,
144,QA Automation Engineer/Python (Центральные логистические системы),https://ekaterinburg.hh.ru/vacancy/32695277?query=python,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,,,
145,Программист Python (Senior),https://ekaterinburg.hh.ru/vacancy/38576811?query=python,https://hh.ru/employer/2223982,,,
146,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38979914?query=python,https://hh.ru/employer/2406247,,,
147,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38801313?query=python,https://hh.ru/employer/3776?dpt=mts-3776-it,,,
148,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38935608?query=python,https://hh.ru/employer/1111058,,,
149,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38453029?query=python,https://hh.ru/employer/872178,,,
150,Разработчик Python DevTools,https://ekaterinburg.hh.ru/vacancy/36167370?query=python,https://hh.ru/employer/1057,,,
151,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38278738?query=python,https://hh.ru/employer/154979,,140000.0,руб.
152,Программист Python,https://ekaterinburg.hh.ru/vacancy/38157850?query=python,https://hh.ru/employer/4508336,180000.0,300000.0,руб.
153,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38777282?query=python,https://hh.ru/employer/665449,100000.0,130000.0,руб.
154,Data scientist/Python,https://ekaterinburg.hh.ru/vacancy/38981353?query=python,https://hh.ru/employer/1425152,,,
155,Программист Python(Django),https://ekaterinburg.hh.ru/vacancy/38054244?query=python,https://hh.ru/employer/219425,,,
156,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/37545437?query=python,https://hh.ru/employer/78638,,,
157,Backend-разработчик (Python/Django),https://ekaterinburg.hh.ru/vacancy/38977337?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
158,Python-разработчик (MAPS.ME),https://ekaterinburg.hh.ru/vacancy/36792914?query=python,https://hh.ru/employer/15478,,,
159,Automation QA Engineer (Python),https://ekaterinburg.hh.ru/vacancy/37445343?query=python,https://hh.ru/employer/1111058,,170000.0,руб.
160,Automation QA Engineer (Python),https://ekaterinburg.hh.ru/vacancy/39045042?query=python,https://hh.ru/employer/654435,,,
161,Инженер по автоматизации тестирования (Python),https://ekaterinburg.hh.ru/vacancy/38616793?query=python,https://hh.ru/employer/26624,,,
162,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38728444?query=python,https://hh.ru/employer/1978012,,,
163,Python (Full-stack) разработчик,https://ekaterinburg.hh.ru/vacancy/38646404?query=python,https://hh.ru/employer/4570206,,250000.0,руб.
164,QA Automation Python,https://ekaterinburg.hh.ru/vacancy/34596119?query=python,https://hh.ru/employer/4233,,,
165,Full-stack веб-программист python/javascript,https://ekaterinburg.hh.ru/vacancy/37566148?query=python,https://hh.ru/employer/2853703,,,
166,Python разработчик (Django),https://ekaterinburg.hh.ru/vacancy/38705473?query=python,https://hh.ru/employer/4490324,120000.0,,руб.
167,Ведущий Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38921844?query=python,https://hh.ru/employer/2328032,,,
168,DevOps / Python инженер,https://ekaterinburg.hh.ru/vacancy/38937401?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
169,Python разработчик в myTarget,https://ekaterinburg.hh.ru/vacancy/38323541?query=python,https://hh.ru/employer/15478,,,
170,Senior python разработчик,https://ekaterinburg.hh.ru/vacancy/36493185?query=python,https://hh.ru/employer/4598809,,,
171,Back-end Python/Django разработчик,https://ekaterinburg.hh.ru/vacancy/38629821?query=python,https://hh.ru/employer/3306967,130000.0,200000.0,руб.
172,Senior Python-разработчик,https://ekaterinburg.hh.ru/vacancy/39012300?query=python,https://hh.ru/employer/4427849,,,
173,Web-разработчик fullstack (python+javascript),https://ekaterinburg.hh.ru/vacancy/38602747?query=python,https://hh.ru/employer/2943515,50000.0,80000.0,руб.
174,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38063535?query=python,https://hh.ru/employer/790022,,,
175,Python Developer (Django+JS),https://ekaterinburg.hh.ru/vacancy/38993329?query=python,https://hh.ru/employer/4582320,,,
176,Разработчик (Python),https://ekaterinburg.hh.ru/vacancy/38901120?query=python,https://hh.ru/employer/47858,,,
177,Стажер разработчик Python,https://ekaterinburg.hh.ru/vacancy/38587522?query=python,https://hh.ru/employer/3185191,20000.0,50000.0,руб.
178,"Python разработчик (jun+, middle)",https://ekaterinburg.hh.ru/vacancy/38088133?query=python,https://hh.ru/employer/20145,,,
179,QA Automation Engineer (Python),https://ekaterinburg.hh.ru/vacancy/38946858?query=python,https://hh.ru/employer/1474584,,,
180,Python разработчик,https://ekaterinburg.hh.ru/vacancy/37765040?query=python,https://hh.ru/employer/2501719,,,
181,Data Analyst (Python),https://ekaterinburg.hh.ru/vacancy/38686799?query=python,https://hh.ru/employer/80,,,
182,Python Developer,https://ekaterinburg.hh.ru/vacancy/38672884?query=python,https://hh.ru/employer/4836310,2000.0,4000.0,USD
183,Специалист по автоматизированному тестированию (Python),https://ekaterinburg.hh.ru/vacancy/38433553?query=python,https://hh.ru/employer/1694073,,,
184,Разработчик Python (backend),https://ekaterinburg.hh.ru/vacancy/38271890?query=python,https://hh.ru/employer/5923?dpt=rns-5923-RKMo,,,
